grid.nam,latitude,longitude,elevation,all_flower_mid,all_fruit_mid,development_time,development_time_herb,development_time_WD,flower_herb_mid,flower_WD_mid,fruit_herb_mid,fruiting_WD_mid,all_flower_var,flower_herb_var,flower_WD_var,all_fruit_var,fruit_herb_var,fruit_WD_var,MAT,TCQ,MAP,PDM,TS,PS,accu_2019
724,43.56,112.67,997.41,192.29,217.11,23.4,20.6,43.1,196.1,166.2,218.2,209.7,0.21,0.2,0.18,0.13,0.13,0.14,276.73197,257.389,170.404,1.03185,141.328,105.995,3146.877505
725,43.49,113.91,1062.05,193.33,217.12,21.8,18.7,44.1,195.9,173.4,216.6,220.8,0.19,0.19,0.17,0.14,0.14,0.16,276.10456,256.9714,222.869,1.88866,139.389,108.233,3050.451942
726,43.4,115.15,1146.85,198.29,221.19,23.5,20.2,55.8,200.7,168.7,220.5,227.6,0.18,0.17,0.16,0.13,0.13,0.13,275.12191,255.8372,272.365,2,139.85,106.307,2686.166908
727,43.31,116.39,1285.6,198.24,222,24.8,20.9,62.7,200.8,165.8,220.9,233.5,0.17,0.16,0.2,0.14,0.13,0.18,274.31645,255.9083,339.632,2.05997,134.068,106.951,2148.700478
728,43.2,117.63,1236.47,199.94,223.61,25.8,21.7,65.6,202.9,161.3,222.7,233.7,0.16,0.14,0.2,0.14,0.13,0.23,275.01158,258.1147,406.372,1.95956,124.624,111.618,2312.9497
729,43.08,118.86,735.744,199.86,223.87,25.7,21.7,64.1,202.8,162,222.9,234.3,0.17,0.15,0.21,0.14,0.13,0.22,278.38249,261.8792,380.03,1.12791,122.89,117.88,3046.342077
730,42.95,120.09,416.225,201.59,225.73,25.6,21.3,57.9,205.2,165,225.2,230,0.19,0.16,0.23,0.14,0.13,0.22,279.87118,263.26285,383.714,1,123.614,116.868,3442.429938
731,42.81,121.32,330.375,200.36,225.74,26.2,23.5,55.5,203.2,158,226,221.2,0.21,0.19,0.26,0.17,0.16,0.38,279.8573,262.9164,436.291,1.64139,125.529,109.998,3406.789515
732,42.66,122.53,164.585,199.13,224.32,26.5,23.6,57.3,202.5,150.6,225,214.2,0.21,0.19,0.23,0.18,0.16,0.39,280.20157,262.7027,507.702,2.52808,128.528,104.263,3591.657538
733,42.5,123.75,130.6,194.47,223.43,30,23.9,74.8,199.9,141.4,223.4,223.8,0.24,0.2,0.21,0.21,0.19,0.38,280.51651,262.7772,646.121,5.10729,129.285,99.2321,3588.431638
734,42.33,124.96,404.077,194.8,227.14,34.7,30.2,74.5,198.6,147.1,226.6,233.6,0.24,0.21,0.25,0.2,0.18,0.43,278.39173,260.1759,800.476,8.31108,131.439,95.6953,3094.159285
735,42.15,126.16,595.027,187.35,227.16,41.9,32.8,85.2,194,150.7,224.9,238.1,0.23,0.21,0.12,0.18,0.17,0.19,276.65434,257.8602,856.746,9.48493,134.139,93.606,2805.213193
736,41.95,127.35,864.3,191.63,222.8,32.8,25.1,70.1,197.5,154.8,222,227.1,0.2,0.17,0.17,0.19,0.17,0.24,275.18348,256.881,799.703,9.06577,131.224,92.4767,2511.48214
745,39.27,73.98,4080.24,192.48,213.48,22.6,20.2,40.4,194.9,170.2,213.9,210.3,0.14,0.13,0.16,0.1,0.1,0.12,268.80621,254.8242,268.135,11.6493,101.77,38.8642,799.7410548
746,39.54,75.11,2627.74,192.61,213.7,22.8,20,42.8,195,171.2,213.7,213.4,0.14,0.13,0.16,0.1,0.1,0.13,277.06839,262.2011,158.308,4.44879,105.982,52.3684,2525.322505
747,39.79,76.24,1748.24,193.39,214.15,22,19.5,40.5,195.8,171.7,214.5,211.5,0.14,0.14,0.15,0.1,0.1,0.12,282.08886,266.58437,106.055,2.76804,109.573,50.1517,3826.8462
